"@timestamp","src_ip",realm,"auth_user","response_code","http_method","bytes_from_client","bytes_to_client","media_type",url
"Mar 17, 2021 @ 09:16:10.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,320,"612,489",text/html,https://yandex.ru/search/?clid=2186620&text=%D0%BC%D0%B0%D0%B4%D0%BD%D0%B8%20%D1%8F%D0%BD%D0%B8%D1%81%20%D0%B7%D0%B0%D1%84%D1%84%D0%B5%D1%80%D0%BE%D0%B2%D0%B8%D1%87&lr=213&redircnt=1677748570.1
"Mar 17, 2021 @ 11:19:54.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,0,0,,ledisharm.com:443
"Mar 17, 2021 @ 11:17:37.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,0,0,,ledisharm.com:443
"Mar 17, 2021 @ 11:17:30.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,0,0,,ledisharm.com:443
"Mar 17, 2021 @ 13:54:35.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,"1,840","2,434",application/json,https://statsb.nativeroll.tv/nr/aserver/group/5c17994f9762b6b4168b46a0?event=visit&gid=5c17994f9762b6b4168b46a0&v=1.20.1&url=https%3A%2F%2Fria.ru%2F20230330%2Fkriminal-1860450545.html%3Futm_source%3Dyxnews%26utm_medium%3Ddesktop&title=%22%D0%9F%D0%BE%D0%B9%D0%BC%D0%B0%D0%BB%D0%B8%20%D0%BD%D0%B5%20%D0%B2%D1%81%D0%B5%D1%85%22.%20%D0%93%D0%B8%D0%B1%D0%B5%D0%BB%D1%8C%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%B8%D0%BA%D0%B0%20%D0%A1%D0%92%D0%9E%20%D0%B2%D0%B7%D0%B1%D1%83%D0%B4%D0%BE%D1%80%D0%B0%D0%B6%D0%B8%D0%BB%D0%B0%20%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D1%83%D1%8E%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C%20-%20%D0%A0%D0%98%D0%90%20%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D0%B8%2C%2030.03.2023&ref=https%3A%2F%2Fdzen.ru%2Fnews%2Fstory%2FPojmali_ne_vsekh._Gibel_uchastnika_SVO_vzbudorazhila_Leningradskuyu_oblast--19ef82491feaafff61daafdb4dd3b014%3Flang%3Dru%26from%3Drub_portal%26wan%3D1%26stid%3DbN_HeqvUpi1VffTLV6Yb%26t%3D1680183042%26persistent_id%3D2705384751%26story%3De5356233-9b0e-500e-948b-6474b988b703%26issue_tld%3Dru%26utm_referrer%3Ddzen.ru&block_enabled=0&width=600&height=0&offset_px=0&offset_pct=50&lenght_px=0&cookie_enabled=1&t=2023-03-30T16%3A54%3A35&mode=outstream&data_saver=false&places=0&nr_f=MTY4MDE4NDQ3NTM1Nw%3D%3D&ancestor_origins=&hwConcurrency=4&platform=Win32&touchPoints=0&plays360=true&plays_inline=true&power_saver=false&li=&cid=60ec57b0-68d0-4ede-90cc-c40087ee24d1
"Mar 17, 2021 @ 13:54:32.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,290,"9,000",text/json,https://data.24smi.net/informer?object=19721&num=15&output=json&chash=dc4049d9-f55d-4bc2-9ec5-8bb09e166325
"Mar 17, 2021 @ 13:54:32.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,POST,344,158,application/json,https://redllama.ru/core/headbidd
"Mar 17, 2021 @ 13:54:30.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,POST,"1,951",392,application/json,https://redllama.ru/core/headbidd
"Mar 17, 2021 @ 13:54:28.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,"1,801","197,359",text/html,https://ria.ru/20230330/kriminal-1860450545.html?utm_source=yxnews&utm_medium=desktop
"Mar 17, 2021 @ 13:53:29.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,"1,255","214,277",text/html,https://dzen.ru/news/story/Pojmali_ne_vsekh._Gibel_uchastnika_SVO_vzbudorazhila_Leningradskuyu_oblast--19ef82491feaafff61daafdb4dd3b014?lang=ru&from=rub_portal&wan=1&stid=bN_HeqvUpi1VffTLV6Yb&t=1680183042&persistent_id=2705384751&story=e5356233-9b0e-500e-948b-6474b988b703&issue_tld=ru&utm_referrer=dzen.ru
"Mar 17, 2021 @ 13:51:58.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,"1,269","218,483",text/html,https://dzen.ru/news/story/Gonorar_suprugi_Meladze_koncerty_kotorogo_byli_otmeneny_sostavil_menshe_milliona_rublej--abf6a4d6ea8de6d2b00a547636ac11fc?lang=ru&from=main_portal&fan=1&stid=IJmuXr4BA9bxMWkoSi5d&t=1680183042&persistent_id=2705401636&story=5ffaa965-77ff-5cb8-9137-329839b4c9cc&issue_tld=ru&utm_referrer=dzen.ru
"Mar 17, 2021 @ 13:49:49.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,"1,263","235,573",text/html,https://dzen.ru/news/story/Raiffeisen_Bank_khochet_prodat_rossijskie_aktivy_ili_vyvesti_ikh_izsostava_gruppy--6d64c606c9b425f8b848733d932b7ed3?lang=ru&from=main_portal&fan=1&stid=TsUUwwAdDJ34GI5emAjh&t=1680183042&persistent_id=2705396306&story=862c2d69-6291-5616-9bab-722aa1cb7457&issue_tld=ru&utm_referrer=dzen.ru
"Mar 17, 2021 @ 09:06:25.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,90,"1,108","image/svg+xml","https://yastatic.net/s3/home/services/block/kinopoisk_redesign0.svg"
"Mar 17, 2021 @ 09:06:25.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,96,380,"image/svg+xml","https://yastatic.net/s3/home-static/_/W/P/9R-NwTGJVVR5AiZEKm8smhNqM.svg"
"Mar 17, 2021 @ 09:06:25.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,82,"1,263","image/svg+xml","https://yastatic.net/s3/home/services/block/taxi_new.svg"
"Mar 17, 2021 @ 09:06:25.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,POST,896,297,"image/gif","https://clck.dzen.ru/click"
"Mar 17, 2021 @ 09:06:24.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,302,GET,968,554,,"https://yandex.ru/an/count/WmWejI_zOEC2zHS0b2a4pkFCwYeMsmK0umCnYlyZP000000uf8d90K02I0HWw1bmdeZr_AsjeApp0O012P01YB6zlz-0W802c068iRs_NxW1_EJ9nIN00MxO0RZKZga1w05ia0Bu1C2Rq0M81S2Rq0MG1S2Rq0MW1O3Tsm6e1S2Djm6m1S2Djm6u1S2Djm701S2Rq0N81S2Djm7vtzQmprguCQa7WH1vxBixVXMm1u20c3ou1wmqq0SIWO20W808w0b3oVWAWBKOgWiGSAIKlu4G0G3DMlX91lZe2y2Rq0Nm2mhe39C2u0s2W830W82023_vlzk6-zcMt36W3i24FR8F0X01W12SwEya2FWG1l0I1gRsf-V-XvgA5-0Jm8st0Q0Km8st0QWKm9lG1SWK0kWKX0Bm5S6AzkoZZxpyOv0MNA0MaEJbe0R95e4Nc1VBqzCZg1S9m1UqbW7O5y24FUWN0Q0O1R0OxzMFeGQu607G627u69_Dl86qhyse2u0P6G6W6Qe3i1cu6S3I6H9vOM9pNtDbSdPbSYzoE30pBJFW6G7e6O320_0PWC83WHh__sEfs6VNePWQrCDJi1gxik7iYkZo_Ay1k1e1zHe10000WXjBCJOuC30uC3StE30rCZ8nCIqnE3auDZSmDZKpCJaqD3KqDp8uC30nC3OjS79lP7LZT6blRYrXS70jQ6zpT2rsR64jS6DlP6KjCpOsi1j1k1i3WXmDMbb5EbfCQsvER3HeD-aSW1t_VvaTo1t0X3se7W7G7kV2jEhw-eAdRTWU_8qVe1-SwEyai1y1o1-SgiTKs22cif0Gu206q27___y1s279o-lcZj3-bXZO8T3MWEgg_Ac-nG7O8SREnuoppSpKvW7ewFWXanhL8l__V_-18yeZ4200kGrSni0cIEeq5qPt4IECZKCoypDcSImYEfjzVZU8BN6wi7UBDD0OOgEPENagE7tQ4BCeHXeaM8GiAgz2ZP202jozGj3DOWBekUkTiOfBLZuNB2uES3UvS8WRe2jK_gITCm00~1?test-tag=556352883654836&pcode-active-testids=746252%2C0%2C56"
"Mar 17, 2021 @ 09:06:24.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,145,367,"image/gif","https://yandex.ru/an/count/0/8767453722592584207?yclid=1548742582679705336"
"Mar 17, 2021 @ 08:59:13.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,91,"35,881","image/svg+xml","https://www.bing.com/th?id=ODSWG.1010e477-354b-44c5-ac52-adc331ca76ac&pid=dsb"
"Mar 17, 2021 @ 08:59:13.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,668,"35,827","image/svg+xml","https://www.bing.com/th?id=ODSWG.13a21f1e-630c-4e5f-bdca-eb08b94e06ad&pid=dsb"
"Mar 17, 2021 @ 08:59:12.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,750,"2,594","application/json","https://www.bing.com/DSB?clientDateTime=3%2F29%2F2023%2C%2010%3A57%3A55%20AM&cc=RU&setlang=ru-ru&dsbschemaversion=1.1"
"Mar 17, 2021 @ 08:55:58.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,227,"3,010",,"https://ieonline.microsoft.com/iedomainsuggestions/ie11/suggestions.ru-RU"
"Mar 17, 2021 @ 08:40:50.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,POST,"1,889",574,"image/gif","https://mc.yandex.ru/webvisor/55297636?wmode=0&wv-part=27&wv-hit=578302007&page-url=https%3A%2F%2Fondb.consultant.ru%2Fnews%2F21981%2F%3Fq%3D8D48190F01AA20EC3845AF45B4F282496E2BCB7F328376F7D85C9E3668EF971E11CA59CC406413481BF34C979A457DB8B8FFBC03227A54106B3CEAFD8DA77AD1DBC7067401911B6CACD3EE478A4C1AEFD2F74AF99B6CEA64942106D7E3C770F6B267776E08520F44B39DF815B405D055E431FC57BE8E17969F3D46C7F793C821022CC9CD21FE2A517953D60E7E934E2AF803EB40897A2028D9EECB299B0DFF074D818114D4B95D8184A8278264928D95F9A61BA708EB56E880C7238A271C41DB6D5CAC734E609E0D4BE29C1339A3BBDB14E758BAD6B00581B8FEgCk1I&rn=556335712&wv-type=3&browser-info=we%3A1%3Aet%3A1680079251%3Aw%3A1887x941%3Av%3A991%3Az%3A180%3Ai%3A20230329114050%3Au%3A1680078128931480190%3Avf%3A3ue65zhww2f2brt35wtqzj%3Ast%3A1680079251&t=gdpr(14)ti(2)"
"Mar 17, 2021 @ 08:40:46.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,POST,"1,890",574,"image/gif","https://mc.yandex.ru/webvisor/55297636?wmode=0&wv-part=26&wv-hit=578302007&page-url=https%3A%2F%2Fondb.consultant.ru%2Fnews%2F21981%2F%3Fq%3D8D48190F01AA20EC3845AF45B4F282496E2BCB7F328376F7D85C9E3668EF971E11CA59CC406413481BF34C979A457DB8B8FFBC03227A54106B3CEAFD8DA77AD1DBC7067401911B6CACD3EE478A4C1AEFD2F74AF99B6CEA64942106D7E3C770F6B267776E08520F44B39DF815B405D055E431FC57BE8E17969F3D46C7F793C821022CC9CD21FE2A517953D60E7E934E2AF803EB40897A2028D9EECB299B0DFF074D818114D4B95D8184A8278264928D95F9A61BA708EB56E880C7238A271C41DB6D5CAC734E609E0D4BE29C1339A3BBDB14E758BAD6B00581B8FEgCk1I&rn=1011435708&wv-type=3&browser-info=we%3A1%3Aet%3A1680079247%3Aw%3A1887x941%3Av%3A991%3Az%3A180%3Ai%3A20230329114046%3Au%3A1680078128931480190%3Avf%3A3ue65zhww2f2brt35wtqzj%3Ast%3A1680079247&t=gdpr(14)ti(2)"
